Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775446287,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775446288,2,,Aggregated,0.000000,0.000000,420,420,420,420,420,420,420,420,420,420,420,2,1,271.7505830078153,345.53110400156584,271.7505830078153,419.3116249953164,16524.5
1775446289,4,,Aggregated,0.000000,0.000000,370,370,420,420,420,420,420,420,420,420,420,4,2,270.0,314.94080199991004,193.96537500142585,419.3116249953164,16524.0
1775446290,6,,Aggregated,0.000000,0.000000,190,270,370,370,420,870,870,870,870,870,870,12,5,170.0,262.96632283265353,77.38750000135042,868.5867079911986,15651.583333333334
1775446291,8,,Aggregated,1.000000,0.500000,220,270,340,370,420,870,870,870,870,870,870,19,5,220.0,254.22856573622036,77.38750000135042,868.5867079911986,18638.526315789473
1775446292,10,,Aggregated,2.333333,1.333333,210,270,370,380,550,670,870,870,870,870,870,27,8,210.0,265.7889798887212,77.38750000135042,868.5867079911986,25860.59259259259
1775446293,12,,Aggregated,3.000000,1.250000,210,260,340,370,480,670,870,870,870,870,870,33,11,210.0,253.5436653944833,77.38750000135042,868.5867079911986,24101.242424242424
1775446294,14,,Aggregated,3.800000,1.000000,220,260,330,340,550,870,910,910,910,910,910,46,12,210.0,263.94749363142813,73.13133399293292,911.6292499966221,24956.195652173912
1775446295,16,,Aggregated,4.666667,1.500000,220,270,340,380,590,870,870,910,910,910,910,56,15,220.0,274.76163610793134,70.36800000059884,911.6292499966221,27123.10714285714
1775446296,18,,Aggregated,5.000000,1.571429,220,270,340,370,590,820,870,910,910,910,910,66,17,220.0,270.31837242490536,69.80329200450797,911.6292499966221,26716.833333333332
1775446297,20,,Aggregated,5.875000,1.500000,220,270,340,420,550,820,870,910,910,910,910,79,22,220.0,269.3151328611391,69.80329200450797,911.6292499966221,27382.6582278481
1775446298,20,,Aggregated,6.333333,1.666667,220,260,330,370,540,730,870,910,910,910,910,91,26,220.0,258.6299454510931,64.55366699083243,911.6292499966221,26798.197802197803
1775446299,20,,Aggregated,6.700000,1.700000,210,260,330,370,540,670,870,870,910,910,910,107,33,210.0,249.94977604759373,64.55366699083243,911.6292499966221,26450.6261682243
1775446300,20,,Aggregated,8.300000,2.300000,210,260,320,370,530,620,870,870,910,910,910,121,37,210.0,247.36378370355604,64.55366699083243,911.6292499966221,26121.04958677686
1775446301,20,,Aggregated,9.200000,2.700000,190,240,280,340,510,620,870,870,910,910,910,136,43,180.0,233.2035796114403,60.219999999389984,911.6292499966221,24464.96323529412
1775446302,20,,Aggregated,10.200000,2.900000,190,240,280,340,480,590,870,870,910,910,910,147,47,190.0,229.74437834775364,60.219999999389984,911.6292499966221,23982.965986394556
1775446303,20,,Aggregated,11.200000,3.300000,200,260,300,340,480,590,820,870,910,910,910,163,50,200.0,234.66174534423436,60.219999999389984,911.6292499966221,24571.791411042945
