run,load,latency_s,timed_out
1,idle,,True
2,idle,,True
3,idle,,True
4,idle,,True
5,idle,,True
1,idle,,True
2,idle,,True
3,idle,,True
4,idle,,True
5,idle,,True
1,idle,0.608,False
2,idle,0.798,False
3,idle,0.766,False
4,idle,0.571,False
5,idle,0.624,False
1,light_load,0.747,False
2,light_load,0.724,False
3,light_load,0.876,False
4,light_load,2.81,False
5,light_load,1.123,False
1,moderate_load,0.653,False
2,moderate_load,0.759,False
3,moderate_load,0.706,False
4,moderate_load,0.672,False
5,moderate_load,0.75,False
1,light_load,28.733,False
2,light_load,0.837,False
3,light_load,0.978,False
4,light_load,1.04,False
5,light_load,1.043,False
1,moderate_load,4.97,False
2,moderate_load,1.632,False
3,moderate_load,4.967,False
4,moderate_load,5.717,False
5,moderate_load,,True
