Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775780231,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775780232,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775780233,4,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,4,2,670.8365841768682,1079.477271065116,670.8365841768682,1489.8362080566585,16645.5
1775780234,6,,Aggregated,0.000000,0.000000,670,670,1500,1500,1500,1500,1500,1500,1500,1500,1500,6,4,670.0,815.5179377645254,286.270750220865,1489.8362080566585,11114.333333333334
1775780235,8,,Aggregated,0.000000,0.000000,620,670,940,940,1500,1500,1500,1500,1500,1500,1500,11,6,620.0,643.2022464207628,101.29716666415334,1489.8362080566585,12460.727272727272
1775780236,10,,Aggregated,2.000000,1.333333,400,620,670,670,1500,1500,1500,1500,1500,1500,1500,16,10,290.0,517.1188438835088,96.3635416701436,1489.8362080566585,10657.25
1775780237,12,,Aggregated,1.750000,1.000000,290,330,620,670,940,1500,1500,1500,1500,1500,1500,24,15,290.0,410.9581233545517,93.04783307015896,1489.8362080566585,8575.916666666666
1775780238,14,,Aggregated,3.000000,2.000000,260,290,400,450,670,1500,1500,1500,1500,1500,1500,32,21,260.0,347.8220430406509,84.77508276700974,1489.8362080566585,6756.375
1775780239,16,,Aggregated,3.000000,2.000000,260,290,330,430,670,1500,1500,1500,1500,1500,1500,38,24,250.0,327.5962796821994,84.77508276700974,1489.8362080566585,6661.184210526316
1775780240,18,,Aggregated,3.714286,2.428571,260,350,410,450,670,940,1500,1500,1500,1500,1500,49,30,260.0,345.83136146622047,84.77508276700974,1489.8362080566585,6601.714285714285
