Method,Name,Error,Occurrences
POST,/api/v1/statuses [POST],CatchResponseError('Got 502: <html>\r\n<head><title>502 Bad Gateway</title></head>\r\n<body>\r\n<center><h1>502 Bad Gateway</h1></cente'),4
GET,/api/v2/search,CatchResponseError('Got 429'),54
GET,/api/v1/timelines/public [fav sample],CatchResponseError('Got 429'),40
GET,/api/v1/timelines/public,CatchResponseError('Got 502'),1
POST,/api/v1/statuses/:id/favourite,HTTPError('429 Client Error: Too Many Requests for url: /api/v1/statuses/:id/favourite'),10
GET,/api/v1/timelines/home,CatchResponseError('Got 429'),192
POST,/api/v1/statuses [POST],"CatchResponseError('Got 429: {""error"":""Too many requests""}')",210
GET,/api/v1/timelines/public,CatchResponseError('Got 429'),97
GET,/api/v1/timelines/home,CatchResponseError('Got 502'),3
GET,/api/v1/notifications,CatchResponseError('Got 429'),91
GET,/api/v1/timelines/public [fav sample],CatchResponseError('Got 502'),2
