Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774222076,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774222077,5,,Aggregated,0.000000,0.000000,740,750,750,870,870,870,870,870,870,870,870,5,0,740.0,695.4300417564809,393.176875077188,867.6907918415964,20471.0
1774222078,10,,Aggregated,0.000000,0.000000,740,750,780,870,960,970,970,970,970,970,970,13,0,740.0,672.6737243768114,272.8921249508858,965.1910001412034,26791.23076923077
1774222079,15,,Aggregated,0.000000,0.000000,500,730,740,750,870,960,970,970,970,970,970,21,0,500.0,568.87501773114,94.60754226893187,965.1910001412034,21500.14285714286
1774222080,20,,Aggregated,2.500000,0.000000,390,490,610,730,780,960,970,970,970,970,970,37,1,390.0,441.0637431350109,93.86504162102938,965.1910001412034,19548.783783783783
1774222081,25,,Aggregated,4.666667,0.000000,360,460,590,720,750,910,960,970,970,970,970,53,2,360.0,425.11086631566286,93.86504162102938,965.1910001412034,20440.64150943396
1774222082,30,,Aggregated,6.250000,0.000000,390,480,580,640,740,870,960,970,970,970,970,70,3,390.0,431.2448696499424,93.86504162102938,965.1910001412034,19869.542857142857
1774222083,35,,Aggregated,8.000000,0.200000,410,500,590,670,780,910,970,1000,1000,1000,1000,85,6,410.0,457.37047113259047,93.86504162102938,1037.825542036444,20454.65882352941
1774222084,40,,Aggregated,9.333333,0.333333,450,620,730,770,910,980,1600,1700,1700,1700,1700,99,7,450.0,527.0340505780446,93.86504162102938,1668.3749998919666,21060.70707070707
1774222085,45,,Aggregated,10.571429,0.428571,570,740,840,900,1100,1400,1700,1700,1900,1900,1900,122,11,570.0,625.0107463250761,93.86504162102938,1866.4642088115215,20140.737704918032
1774222086,50,,Aggregated,11.000000,0.750000,620,810,910,980,1200,1500,1700,1900,2000,2000,2000,144,16,610.0,680.3849245415121,93.86504162102938,1960.0680409930646,20241.79861111111
