Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775447926,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775447927,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775447928,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775447929,6,,Aggregated,0.000000,0.000000,1100,1100,1100,2500,2500,2500,2500,2500,2500,2500,2500,5,0,1100.0,1042.763400397962,144.87358399492223,2459.6571250003763,10356.0
1775447930,8,,Aggregated,0.000000,0.000000,1100,1100,1900,2300,2500,2500,2500,2500,2500,2500,2500,9,1,1100.0,1130.7795648899628,144.87358399492223,2459.6571250003763,16309.888888888889
1775447931,10,,Aggregated,0.666667,0.000000,910,1100,1900,1900,2500,3400,3400,3400,3400,3400,3400,16,4,840.0,1075.3430598142586,144.87358399492223,3416.6815420030616,17433.625
1775447932,12,,Aggregated,1.500000,0.000000,470,910,1100,1100,2300,2500,3400,3400,3400,3400,3400,22,7,460.0,858.6831534094844,93.09999999823049,3416.6815420030616,16999.909090909092
1775447933,14,,Aggregated,2.000000,0.200000,390,600,910,1100,1900,2500,3400,3400,3400,3400,3400,33,12,390.0,681.895011364373,91.6030420048628,3416.6815420030616,16680.0
1775447934,16,,Aggregated,2.666667,0.666667,290,460,630,910,1100,2300,3400,3400,3400,3400,3400,42,15,290.0,580.8464335243029,83.50595801312011,3416.6815420030616,17876.214285714286
1775447935,18,,Aggregated,3.428571,1.000000,320,470,770,790,1100,2300,2500,3400,3400,3400,3400,51,18,320.0,565.0639436079313,83.50595801312011,3416.6815420030616,17314.333333333332
1775447936,20,,Aggregated,4.500000,1.500000,340,600,780,900,1100,1900,2500,3400,3400,3400,3400,64,23,330.0,576.1631275788659,48.43766600242816,3416.6815420030616,17041.796875
1775447937,20,,Aggregated,4.888889,1.777778,290,560,780,900,1200,1900,2500,3400,3400,3400,3400,80,31,290.0,540.0456598881647,48.43766600242816,3416.6815420030616,18607.8125
1775447938,20,,Aggregated,5.600000,1.900000,290,470,730,840,1100,1600,2500,3400,3400,3400,3400,87,35,290.0,515.4745042994458,48.43766600242816,3416.6815420030616,19030.080459770114
1775447939,20,,Aggregated,6.700000,2.500000,240,460,630,790,1100,1600,2500,3400,3400,3400,3400,100,40,240.0,475.7508816603513,48.43766600242816,3416.6815420030616,19875.35
1775447940,20,,Aggregated,8.000000,3.100000,240,460,630,770,1100,1600,2300,2500,3400,3400,3400,112,41,240.0,462.0039795449234,48.43766600242816,3416.6815420030616,21381.339285714286
1775447941,20,,Aggregated,8.900000,3.700000,240,460,610,760,1000,1300,2300,2500,3400,3400,3400,123,45,240.0,454.74415818738987,48.43766600242816,3416.6815420030616,22451.80487804878
1775447942,20,,Aggregated,9.400000,4.000000,240,460,610,730,920,1300,2300,2500,3400,3400,3400,138,48,240.0,436.1440573701512,48.43766600242816,3416.6815420030616,22572.521739130436
1775447943,20,,Aggregated,10.600000,4.200000,240,410,600,640,910,1200,1900,2500,3400,3400,3400,152,54,230.0,420.6023648687398,48.43766600242816,3416.6815420030616,22102.361842105263
1775447944,20,,Aggregated,10.800000,4.100000,230,390,570,630,900,1200,1900,2500,3400,3400,3400,161,57,230.0,408.37948188230524,48.43766600242816,3416.6815420030616,22072.52795031056
1775447945,20,,Aggregated,11.500000,4.100000,230,390,560,630,910,1200,1900,2500,3400,3400,3400,176,61,230.0,400.8138224492293,46.69883300084621,3416.6815420030616,22343.00568181818
1775447946,20,,Aggregated,11.700000,4.200000,220,370,530,610,900,1100,1900,2500,3400,3400,3400,187,65,220.0,387.6091593210828,46.69883300084621,3416.6815420030616,22088.064171122995
1775447947,20,,Aggregated,11.800000,4.100000,230,390,550,610,880,1100,1900,2500,3400,3400,3400,200,66,230.0,388.8685977102432,46.69883300084621,3416.6815420030616,23487.31
1775447948,20,,Aggregated,12.100000,4.200000,220,370,520,610,850,1100,1600,2300,3400,3400,3400,215,70,220.0,378.9016426419758,46.6624170076102,3416.6815420030616,23753.79069767442
1775447949,20,,Aggregated,12.100000,4.000000,210,340,490,590,840,1100,1600,2300,3400,3400,3400,227,76,210.0,366.5909205463619,46.6624170076102,3416.6815420030616,23217.264317180616
1775447950,20,,Aggregated,12.100000,3.500000,200,330,480,560,820,1100,1600,2300,3400,3400,3400,244,81,190.0,353.1438020985005,45.96704200957902,3416.6815420030616,22670.381147540982
1775447951,20,,Aggregated,12.600000,3.400000,190,320,470,550,800,1100,1600,2300,3400,3400,3400,257,83,190.0,344.97845251377487,44.591249999939464,3416.6815420030616,23167.45914396887
1775447952,20,,Aggregated,13.000000,3.700000,180,300,460,530,780,1000,1600,2300,3400,3400,3400,273,86,180.0,334.69756060806975,44.591249999939464,3416.6815420030616,23279.92673992674
1775447953,20,,Aggregated,13.000000,3.900000,170,290,440,520,780,980,1600,2300,3400,3400,3400,286,91,170.0,326.6797775594588,44.591249999939464,3416.6815420030616,22986.765734265733
1775447954,20,,Aggregated,13.300000,3.800000,160,280,420,510,770,980,1600,2300,3400,3400,3400,300,97,160.0,319.2292539133147,44.591249999939464,3416.6815420030616,23007.556666666667
1775447955,20,,Aggregated,13.600000,3.900000,150,280,410,480,760,980,1300,1900,3400,3400,3400,312,103,150.0,313.0755080288882,44.591249999939464,3416.6815420030616,22770.67628205128
1775447956,20,,Aggregated,13.400000,3.700000,150,280,410,480,730,920,1300,1900,3400,3400,3400,323,107,150.0,309.61577104340233,44.591249999939464,3416.6815420030616,23041.49535603715
1775447957,20,,Aggregated,13.800000,4.000000,150,270,370,480,730,920,1300,1900,3400,3400,3400,338,112,150.0,303.72901098228704,44.591249999939464,3416.6815420030616,23172.71893491124
1775447958,20,,Aggregated,13.800000,4.200000,150,270,370,480,710,910,1300,1900,3400,3400,3400,347,116,150.0,302.24952054185184,44.591249999939464,3416.6815420030616,23444.51296829971
1775447959,20,,Aggregated,13.700000,4.300000,140,270,350,480,650,910,1200,1900,3400,3400,3400,362,124,140.0,296.6931436520561,44.591249999939464,3416.6815420030616,23057.555248618784
1775447960,20,,Aggregated,13.700000,4.600000,140,260,340,470,640,910,1200,1900,3400,3400,3400,377,130,140.0,291.4232323184734,44.591249999939464,3416.6815420030616,22825.111405835545
1775447961,20,,Aggregated,13.100000,4.600000,140,260,340,460,630,900,1200,1900,3400,3400,3400,391,138,140.0,289.3857750462924,44.591249999939464,3416.6815420030616,22683.304347826088
1775447962,20,,Aggregated,13.500000,4.900000,140,260,340,460,630,900,1200,1900,3400,3400,3400,398,140,140.0,288.80062301282834,44.591249999939464,3416.6815420030616,22786.8391959799
1775447963,20,,Aggregated,13.100000,4.800000,150,270,340,470,630,900,1200,1600,3400,3400,3400,418,147,150.0,289.7209823662811,44.591249999939464,3416.6815420030616,22792.246411483255
1775447964,20,,Aggregated,13.400000,5.500000,150,270,340,470,630,880,1200,1600,3400,3400,3400,426,149,150.0,289.48963087581853,44.591249999939464,3416.6815420030616,22751.964788732395
1775447965,20,,Aggregated,12.300000,5.300000,150,270,340,460,630,880,1200,1600,3400,3400,3400,439,152,150.0,287.24468309130094,44.591249999939464,3416.6815420030616,22846.697038724375
1775447966,20,,Aggregated,13.100000,5.600000,150,270,350,460,630,850,1100,1600,3400,3400,3400,454,157,150.0,287.6440223966959,44.591249999939464,3416.6815420030616,23084.246696035243
1775447967,20,,Aggregated,12.800000,5.200000,150,270,350,460,630,840,1100,1600,3400,3400,3400,469,161,150.0,286.87785723690206,44.591249999939464,3416.6815420030616,23135.701492537315
1775447968,20,,Aggregated,12.500000,4.900000,150,270,350,460,630,840,1100,1600,3400,3400,3400,478,166,150.0,285.380959383063,44.591249999939464,3416.6815420030616,23118.558577405856
1775447969,20,,Aggregated,13.000000,4.900000,150,270,350,460,630,840,1100,1600,3400,3400,3400,496,172,150.0,284.67212273611244,44.591249999939464,3416.6815420030616,23312.370967741936
1775447970,20,,Aggregated,13.100000,4.900000,150,270,340,440,630,830,1100,1600,3400,3400,3400,511,176,150.0,282.2521616968291,44.591249999939464,3416.6815420030616,23399.819960861056
1775447971,20,,Aggregated,13.300000,5.000000,150,270,340,450,630,820,1100,1600,3400,3400,3400,523,180,150.0,281.3025039867941,44.591249999939464,3416.6815420030616,23463.959847036327
1775447972,20,,Aggregated,13.100000,4.600000,150,270,340,450,630,830,1100,1600,3400,3400,3400,534,184,150.0,281.4157196500285,44.591249999939464,3416.6815420030616,23614.059925093632
1775447973,20,,Aggregated,13.400000,4.600000,150,270,340,420,630,820,1100,1600,3400,3400,3400,547,188,150.0,278.54942764011696,44.591249999939464,3416.6815420030616,23529.12248628885
1775447974,20,,Aggregated,13.200000,4.200000,140,270,340,420,630,820,1100,1600,3400,3400,3400,559,191,140.0,277.304666740874,44.591249999939464,3416.6815420030616,23486.388193202147
1775447975,20,,Aggregated,13.700000,4.400000,150,270,340,410,620,800,1100,1600,3400,3400,3400,572,197,150.0,276.195305211821,44.591249999939464,3416.6815420030616,23380.026223776225
1775447976,20,,Aggregated,12.900000,4.100000,150,270,330,410,610,790,1100,1600,3400,3400,3400,586,202,150.0,274.59528384499873,44.591249999939464,3416.6815420030616,23503.9590443686
1775447977,20,,Aggregated,13.100000,4.200000,140,260,330,410,610,790,1100,1600,3400,3400,3400,598,208,140.0,271.91400424783944,44.591249999939464,3416.6815420030616,23269.115384615383
1775447979,20,,Aggregated,13.100000,4.500000,150,270,340,420,630,800,1100,1300,3400,3400,3400,612,213,150.0,276.7528789480541,44.591249999939464,3416.6815420030616,23351.668300653593
1775447980,20,,Aggregated,13.100000,4.500000,150,270,340,420,630,800,1100,1300,3400,3400,3400,626,219,150.0,276.36639669680926,44.591249999939464,3416.6815420030616,23192.960063897764
1775447981,20,,Aggregated,12.900000,4.700000,150,270,340,420,630,800,1100,1300,3400,3400,3400,636,224,150.0,274.81244739183757,44.591249999939464,3416.6815420030616,23194.71540880503
1775447982,20,,Aggregated,13.000000,4.600000,150,270,340,420,630,790,1000,1300,3400,3400,3400,653,227,150.0,274.08112340160966,44.591249999939464,3416.6815420030616,23392.66309341501
1775447983,20,,Aggregated,12.500000,4.800000,140,270,340,410,630,780,1000,1300,3400,3400,3400,663,232,140.0,272.87843243478744,44.591249999939464,3416.6815420030616,23388.257918552037
1775447984,20,,Aggregated,12.500000,4.800000,150,270,340,420,630,800,1100,1300,3400,3400,3400,676,235,140.0,274.8714017415021,44.591249999939464,3416.6815420030616,23704.76775147929
1775447985,20,,Aggregated,13.000000,4.700000,140,270,340,410,630,790,1100,1300,3400,3400,3400,694,238,140.0,271.72175161271696,44.591249999939464,3416.6815420030616,23659.881844380405
