Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775444470,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775444471,5,,Aggregated,0.000000,0.000000,490,500,500,770,770,770,770,770,770,770,770,5,0,490.0,506.68574139708653,304.7780829947442,768.1544999941252,33711.8
1775444472,10,,Aggregated,0.000000,0.000000,310,440,490,490,500,770,770,770,770,770,770,12,0,300.0,357.16791658220853,86.0675409930991,768.1544999941252,19932.916666666668
1775444473,15,,Aggregated,0.000000,0.000000,420,430,470,490,510,530,770,770,770,770,770,22,0,320.0,365.85492990905715,86.0675409930991,768.1544999941252,15990.59090909091
1775444474,20,,Aggregated,5.500000,0.000000,420,470,500,510,650,770,820,820,820,820,820,31,0,420.0,401.90828758040294,86.0675409930991,821.0730829887325,18889.709677419356
1775444475,20,,Aggregated,7.333333,0.000000,420,490,530,650,820,1300,1400,1400,1400,1400,1400,42,0,420.0,476.5828065709294,86.0675409930991,1397.1221669926308,18125.95238095238
1775444476,20,,Aggregated,7.333333,0.000000,420,500,530,650,890,1300,1400,1400,1400,1400,1400,48,0,420.0,472.20487937465805,86.0675409930991,1397.1221669926308,19406.166666666668
1775444477,20,,Aggregated,7.500000,0.000000,430,510,660,770,1300,1300,1400,1600,1600,1600,1600,54,0,430.0,537.4595131477151,86.0675409930991,1584.0587089915061,22886.62962962963
1775444478,20,,Aggregated,8.000000,0.000000,470,580,820,960,1300,1500,1600,1900,1900,1900,1900,59,0,470.0,599.7034936602685,86.0675409930991,1861.7406669945922,23299.28813559322
1775444479,20,,Aggregated,7.714286,0.000000,510,810,1200,1300,1700,1900,2000,2300,2300,2300,2300,77,0,510.0,753.7419161675786,86.0675409930991,2296.9560000055935,25038.20779220779
1775444480,20,,Aggregated,7.250000,0.000000,440,700,960,1200,1600,1800,2000,2300,2300,2300,2300,91,0,440.0,677.0190691746833,86.0675409930991,2296.9560000055935,23619.373626373625
1775444481,20,,Aggregated,8.333333,0.000000,420,600,820,1100,1600,1800,2000,2000,2300,2300,2300,102,0,410.0,629.4493689009173,66.34166599542368,2296.9560000055935,22751.92156862745
1775444482,20,,Aggregated,8.600000,0.000000,360,510,770,960,1600,1800,2000,2000,2300,2300,2300,113,0,360.0,589.7141788483225,66.34166599542368,2296.9560000055935,21234.867256637168
1775444483,20,,Aggregated,9.600000,0.000000,360,510,770,960,1500,1700,2000,2000,2300,2300,2300,125,0,360.0,576.7437403347576,66.34166599542368,2296.9560000055935,22199.632
1775444484,20,,Aggregated,10.100000,0.000000,330,490,670,820,1400,1700,2000,2000,2300,2300,2300,138,0,320.0,545.5201790568738,66.34166599542368,2296.9560000055935,22336.760869565216
1775444485,20,,Aggregated,10.200000,0.000000,320,470,650,770,1300,1700,2000,2000,2300,2300,2300,148,0,320.0,528.734625019432,66.34166599542368,2296.9560000055935,22928.804054054053
1775444486,20,,Aggregated,10.300000,0.000000,330,470,630,770,1300,1700,1900,2000,2300,2300,2300,160,0,330.0,521.7676776239387,66.34166599542368,2296.9560000055935,23356.64375
1775444487,20,,Aggregated,10.600000,0.000000,350,490,650,770,1300,1700,1900,2000,2300,2300,2300,173,0,350.0,523.4226592244598,66.34166599542368,2296.9560000055935,23871.601156069366
1775444488,20,,Aggregated,11.000000,0.000000,350,470,600,700,1200,1600,1900,2000,2300,2300,2300,187,3,350.0,502.8050953895383,52.20641600317322,2296.9560000055935,23772.224598930483
