Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775960629,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775960630,2,,Aggregated,0.000000,0.000000,780,780,780,780,780,780,780,780,780,780,780,1,0,782.8471250250004,782.8471250250004,782.8471250250004,782.8471250250004,43.0
1775960631,4,,Aggregated,0.000000,0.000000,780,780,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,1,780.0,998.28108336078,417.4692500382662,1794.5268750190735,10328.0
1775960632,6,,Aggregated,0.000000,0.000000,780,800,1500,1500,1800,1800,1800,1800,1800,1800,1800,7,2,780.0,778.5627621508736,62.32745898887515,1794.5268750190735,15755.57142857143
1775960633,8,,Aggregated,1.000000,0.500000,800,850,1500,1500,1800,1800,1800,1800,1800,1800,1800,8,2,780.0,787.3705210076878,62.32745898887515,1794.5268750190735,17903.375
1775960634,10,,Aggregated,2.000000,0.666667,780,850,1300,1300,1800,2400,2400,2400,2400,2400,2400,16,4,570.0,783.6126928086742,62.32745898887515,2402.121916995384,21518.375
1775960635,12,,Aggregated,1.750000,0.500000,660,950,1200,1500,1800,2300,2400,2400,2400,2400,2400,25,5,660.0,797.3408150812611,62.32745898887515,2402.121916995384,17211.48
1775960636,14,,Aggregated,2.400000,0.600000,660,800,1100,1200,1600,2300,2400,2400,2400,2400,2400,33,6,660.0,749.4503081807951,62.32745898887515,2402.121916995384,13524.272727272728
1775960637,16,,Aggregated,3.833333,0.666667,660,910,1100,1200,1600,1800,2400,2400,2400,2400,2400,45,8,660.0,761.0010195329475,62.32745898887515,2402.121916995384,13894.91111111111
1775960638,18,,Aggregated,4.285714,0.857143,660,890,1000,1200,1500,1800,2300,2400,2400,2400,2400,55,9,660.0,729.4771886906925,49.613916024100035,2402.121916995384,13419.49090909091
1775960639,20,,Aggregated,4.750000,0.875000,660,910,1100,1200,1600,1800,2300,2400,2400,2400,2400,66,11,660.0,748.6508301958428,47.84920800011605,2402.121916995384,13046.818181818182
1775960640,20,,Aggregated,5.444444,0.888889,660,910,1000,1100,1300,1700,2300,2400,2400,2400,2400,83,13,660.0,716.3785411562512,47.84920800011605,2402.121916995384,12782.180722891566
1775960641,20,,Aggregated,5.800000,1.000000,570,780,950,1000,1200,1700,1800,2300,2400,2400,2400,101,16,570.0,656.2758304557929,47.84920800011605,2402.121916995384,12301.069306930693
1775960642,20,,Aggregated,7.500000,1.200000,520,690,910,990,1200,1700,1800,2300,2400,2400,2400,112,17,500.0,619.0408664556993,47.84920800011605,2402.121916995384,12046.964285714286
1775960643,20,,Aggregated,8.600000,1.200000,500,680,890,980,1200,1600,1800,2300,2400,2400,2400,124,19,500.0,601.5765937664846,47.84920800011605,2402.121916995384,12206.161290322581
1775960644,20,,Aggregated,10.100000,1.500000,440,660,800,950,1200,1500,1800,2300,2400,2400,2400,145,23,440.0,560.208238807812,47.84920800011605,2402.121916995384,12646.710344827587
